reference_area,year,ratio
Scotland,2002,9.37
Scotland,2003,10.14
Scotland,2004,10.89
Scotland,2005,11.6
Scotland,2006,12.21
Scotland,2007,12.81
Scotland,2008,13.06
Scotland,2009,13.08
Scotland,2010,13.17
Scotland,2011,13.07
Scotland,2012,13.17
Scotland,2013,12.88
Scotland,2014,13.05
Scotland,2015,13.28
Scotland,2016,13.82
Scotland,2017,14.17
Scotland,2018,14.68
Scotland,2019,14.95
