reference_area,year,ratio
Scotland,2002,25.83
Scotland,2003,25.39
Scotland,2004,24.86
Scotland,2005,23.86
Scotland,2006,22.67
Scotland,2007,21.68
Scotland,2008,20.53
Scotland,2009,19.34
Scotland,2010,18.69
Scotland,2011,18.72
Scotland,2012,19.12
Scotland,2013,19.01
Scotland,2014,18.47
Scotland,2015,17.77
Scotland,2016,16.78
Scotland,2017,15.88
Scotland,2018,14.9
Scotland,2019,14.4
