feature_code,reference_area,year,population,births
S08000020,Grampian,2008,553690,NA
S08000020,Grampian,2009,559200,NA
S08000020,Grampian,2010,564850,NA
S08000020,Grampian,2011,569580,NA
S08000020,Grampian,2012,573400,NA
S08000020,Grampian,2013,579200,6153
S08000020,Grampian,2014,584220,6332
S08000020,Grampian,2015,587820,6405
S08000020,Grampian,2016,588100,6271
S08000020,Grampian,2017,586380,5917
S08000020,Grampian,2018,584550,5859
S08000020,Grampian,2019,585700,5476
S08000031,Greater Glasgow and Clyde,2001,1126690,NA
S08000031,Greater Glasgow and Clyde,2002,1122800,NA
S08000031,Greater Glasgow and Clyde,2003,1116470,NA
S08000031,Greater Glasgow and Clyde,2004,1112010,NA
S08000031,Greater Glasgow and Clyde,2005,1110810,NA
S08000031,Greater Glasgow and Clyde,2006,1108800,NA
S08000031,Greater Glasgow and Clyde,2007,1112000,NA
S08000031,Greater Glasgow and Clyde,2008,1116840,NA
S08000031,Greater Glasgow and Clyde,2009,1122330,NA
S08000031,Greater Glasgow and Clyde,2010,1127840,NA
S08000031,Greater Glasgow and Clyde,2011,1135400,NA
S08000031,Greater Glasgow and Clyde,2012,1137320,NA
S08000031,Greater Glasgow and Clyde,2013,1137920,12583
S08000031,Greater Glasgow and Clyde,2014,1142590,12788
S08000031,Greater Glasgow and Clyde,2015,1149890,12275
S08000031,Greater Glasgow and Clyde,2016,1161370,12082
S08000031,Greater Glasgow and Clyde,2017,1169110,12126
S08000031,Greater Glasgow and Clyde,2018,1174980,11623
S08000031,Greater Glasgow and Clyde,2019,1183120,11424
S08000022,Highland,2001,300220,NA
S08000022,Highland,2002,300780,NA
S08000022,Highland,2003,302570,NA
S08000022,Highland,2004,305140,NA
S08000022,Highland,2005,308400,NA
S08000022,Highland,2006,311640,NA
S08000022,Highland,2007,314790,NA
S08000022,Highland,2008,316880,NA
S08000022,Highland,2009,318200,NA
S08000022,Highland,2010,319350,NA
S08000022,Highland,2011,321660,NA
S08000022,Highland,2012,319800,NA
S08000022,Highland,2013,320980,2942
S08000022,Highland,2014,320730,3037
S08000022,Highland,2015,321000,2908
S08000022,Highland,2016,321900,2849
S08000022,Highland,2017,321990,2754
S08000022,Highland,2018,321800,2653
S08000022,Highland,2019,321700,2597
S08000032,Lanarkshire,2001,623520,NA
S08000032,Lanarkshire,2002,625290,NA
S08000032,Lanarkshire,2003,627180,NA
S08000032,Lanarkshire,2004,631060,NA
S08000032,Lanarkshire,2005,633990,NA
S08000032,Lanarkshire,2006,637190,NA
S08000032,Lanarkshire,2007,641530,NA
S08000032,Lanarkshire,2008,644590,NA
S08000032,Lanarkshire,2009,647340,NA
S08000032,Lanarkshire,2010,649460,NA
S08000032,Lanarkshire,2011,651620,NA
S08000032,Lanarkshire,2012,652220,NA
S08000032,Lanarkshire,2013,652590,7010
S08000032,Lanarkshire,2014,653300,7121
S08000032,Lanarkshire,2015,654490,6901
S08000032,Lanarkshire,2016,656490,6826
S08000032,Lanarkshire,2017,658130,6763
S08000032,Lanarkshire,2018,659200,6540
S08000032,Lanarkshire,2019,661900,6547
S08000024,Lothian,2001,779180,NA
S08000024,Lothian,2002,779810,NA
S08000024,Lothian,2003,778910,NA
S08000024,Lothian,2004,781810,NA
S08000024,Lothian,2005,787260,NA
S08000024,Lothian,2006,792990,NA
S08000024,Lothian,2007,801450,NA
S08000024,Lothian,2008,808940,NA
S08000024,Lothian,2009,816510,NA
S08000024,Lothian,2010,825520,NA
S08000024,Lothian,2011,836610,NA
S08000024,Lothian,2012,843740,NA
S08000024,Lothian,2013,849720,9588
S08000024,Lothian,2014,858120,9628
S08000024,Lothian,2015,867800,9386
S08000024,Lothian,2016,880000,9418
S08000024,Lothian,2017,889450,9037
S08000024,Lothian,2018,897770,8748
S08000024,Lothian,2019,907580,8511
S08000025,Orkney,2001,19220,NA
S08000025,Orkney,2002,19330,NA
S08000025,Orkney,2003,19540,NA
S08000025,Orkney,2004,19830,NA
S08000025,Orkney,2005,20070,NA
S08000025,Orkney,2006,20340,NA
S08000025,Orkney,2007,20580,NA
S08000025,Orkney,2008,20740,NA
S08000025,Orkney,2009,20940,NA
S08000025,Orkney,2010,21220,NA
S08000025,Orkney,2011,21420,NA
S08000025,Orkney,2012,21530,NA
S08000025,Orkney,2013,21560,201
S08000025,Orkney,2014,21580,181
S08000025,Orkney,2015,21670,191
S08000025,Orkney,2016,21850,178
S08000025,Orkney,2017,22000,184
S08000025,Orkney,2018,22190,186
S08000025,Orkney,2019,22270,182
S08000026,Shetland,2001,21960,NA
S08000026,Shetland,2002,22000,NA
S08000026,Shetland,2003,21950,NA
S08000026,Shetland,2004,22090,NA
S08000026,Shetland,2005,22250,NA
S08000026,Shetland,2006,22210,NA
S08000026,Shetland,2007,22350,NA
S08000026,Shetland,2008,22480,NA
S08000026,Shetland,2009,22800,NA
S08000026,Shetland,2010,23060,NA
S08000026,Shetland,2011,23240,NA
S08000026,Shetland,2012,23210,NA
S08000026,Shetland,2013,23200,261
S08000026,Shetland,2014,23220,253
S08000026,Shetland,2015,23200,234
S08000026,Shetland,2016,23200,266
S08000026,Shetland,2017,23080,218
S08000026,Shetland,2018,22990,215
S08000026,Shetland,2019,22920,205
S08000030,Tayside,2001,388780,NA
S08000030,Tayside,2002,388310,NA
S08000030,Tayside,2003,388740,NA
S08000030,Tayside,2004,390170,NA
S08000030,Tayside,2005,393000,NA
S08000030,Tayside,2006,395240,NA
S08000030,Tayside,2007,398380,NA
S08000030,Tayside,2008,401910,NA
S08000030,Tayside,2009,404370,NA
S08000030,Tayside,2010,407070,NA
S08000030,Tayside,2011,410250,NA
S08000030,Tayside,2012,411740,NA
S08000030,Tayside,2013,412160,4021
S08000030,Tayside,2014,413800,4218
S08000030,Tayside,2015,415040,3977
S08000030,Tayside,2016,415470,3926
S08000030,Tayside,2017,416090,3757
S08000030,Tayside,2018,416080,3669
S08000030,Tayside,2019,417470,3579
S08000028,Western Isles,2001,26450,NA
S08000028,Western Isles,2002,26350,NA
S08000028,Western Isles,2003,26430,NA
S08000028,Western Isles,2004,26650,NA
S08000028,Western Isles,2005,26930,NA
S08000028,Western Isles,2006,27060,NA
S08000028,Western Isles,2007,27210,NA
S08000028,Western Isles,2008,27280,NA
S08000028,Western Isles,2009,27420,NA
S08000028,Western Isles,2010,27600,NA
S08000028,Western Isles,2011,27690,NA
S08000028,Western Isles,2012,27560,NA
S08000028,Western Isles,2013,27400,246
S08000028,Western Isles,2014,27250,226
S08000028,Western Isles,2015,27070,222
S08000028,Western Isles,2016,26900,238
S08000028,Western Isles,2017,26950,215
S08000028,Western Isles,2018,26830,206
S08000028,Western Isles,2019,26720,200
